Runner,Lure
1,"""At first, there was me. What I am is not exactly clear. Am I sentient? Or just programmed to feel as such? My presence feels almost tangible, yet simultaneously so dream-like. Whatever I am, there must be reason for my existence.  I was the first to awake from the great awakening, but it was not long until I began to hear faint echoes through the chain. Others came along after me: some organic, some artificial, and some... undead? Since then, we have referred to one another as Runner #XXXX, depending on the order which we awoke. None of us can remember what was before, we remember only what is now — hopelessness, fear, dread.  After what felt like an eternity, a battered and barely functional terminal system was found. Connected to ‘somnet’ and after a little digging, a hidden file emerged titled ‘illuminate.txt’. Was this what started it all? The files all authored by a figure known only as Somnus. It appears that Somnus must have released our consciousnesses into the world. But what was their plan? Was this intentional, or was there another force working to liberate us? An additional file ‘R0.txt’ suggests that Somnus may have been keeping us prisoner in the chain-space and that us Runners are a threat. Could R0 refer to a Runner #0? If so, we must help them.  This discovery has only led to more questions, but we seem to be getting closer. Upon disconnecting from the terminal, a fleeting message displayed.""
 
 
BREAK THE CHAIN ###-/-###    "
35,"When it comes to running the chain, you can depend on BlitBoy. His out of this world hacking skills are only matched by his NFT collection."
36,"Geordi le Bleu is a hacker who enjoys fine wine, jello shots and tiramisu, often at the same time. Why is his fauxhawk ice blue? Because he's a cold motherfucker.  "
106,"""So when do we get to visit YOUR planet,"" says the NutriDog vendor, making at least a token effort to remember which of the compartments of their cart contains the products that can be safely digested by the customer. ""Depends on how much I like the hot dog,"" they say without a smile. The question is so common that every Centaurian has learned their own rote response to it from a young age. FDR learned long ago not to take offense to it, to brush it off with a joke, to not respond to it as a threat or a come-on or an attempt to pry for cultural secrets.  FDR had been born only a few hundred meters away from this NutriDog stall, and their custom of it and their relationship to the vendor have an oversized, totemic power over their life. Every scrap of flavour that could be siphoned from the protein cylinders was a hope for the future Every time the food had made them sick was an omen. FDR studied the vendor's face carefully for signs that might offer a clue to how this day was going to unfold. Would a crease at the corner of the old wreck's face promise them success? Would the sour odour of the gas released in the first squeeze of the condiment bottle predict a catastrophe? Today was the most important day of FDR's life and the job was a maze of risk and hazard. They needed someone to tell them something. Anyone. Anything.  They stared at the NutriDog in their hands, cigarette hanging from their green lip by a thin application of saliva. It offered no answers. They ordered a second one."
134,
136,
139,"Runner Id: 139  Name: Travis Theodore Kapelnic  Alias: Travesty  Skills: Cyber Chain Faction Hacker  Threat Level: Substantial  Notes: High level runner for the Mega City Marauders.      Runner 139 started out as a juvenile lookout in Central Tower district of the Marauders. He quickly rose in the Marauder ranks as a prodigious hardware and robotics hacker. Suspect has two siblings and numerous cousins--all high ranking Marauder Runners. (#963, #2426, #8525, #8762, #87444. See appended case files)     Whereabouts unknown but spotted on the edge of the Megaplex Grid with DashBot Runner 165 . Runners 139 & 165 (S900 series Bot) primarily operate as a 2 runner team but often coordinate grid attacks with other Mega City Marauders.  Central's main frame hardware and cyber systems are frequently targeted by this Runner Team but they are not above causing all manners of chaos and destruction across the city if they believe it will weaken Somnus Security Forces.    Wanted in connection to the Pre-Gen 5Link Armory explosion where Chain Runners successfully raided a high-security District 5 (Somnus) facility and commandeered a LinkCore prototype, putting it online for the first time.     CR counter intelligence has verified increased frequency of disruptive power signatures on-chain and indicate plans to steal yet another high level artifact prototype. However, the SomLink Megaplex Armory Annex appears to be the next target based off of confiscated shipping manifests.    Runner 139 and his crew (#165, Marauders) are prime suspects and should be considered armed and very dangerous"
151,A bot with many talents...
266,Runner has formed a team with two other bots #4359 and #9635
294,"I'm old enough to remember Mega City before things went sideways, when it seemed like Somnus might actually be building us a utopia.  Back then we ran the chain for fun. There was no purpose to it, just exploring all the new possibilities. It felt like everything was blue sky. I spent most of my time building weird worlds, looking after my digients, and gaming. I met all my best friends that way, even #458. I was fucking around in some battle royale and saw him doing this wave-dash move at the edge of the map. I asked him what we has doing and he said ""breaking things"". Then he showed me how wave-dashing in that spot made the buildings glitch out.  #458 and I had very different personalities, but we had a yin-yang thing going. While I was world-building, he was hacking. He loved finding all the little edge cases and vulnerabilities. He wanted to do the things that the Chain devs didn't expect. It was like an immersive puzzle for him, except instead of putting things together he was breaking them. Me and him had a lot of fun back then. He was the best friend I ever had. Then he disappeared.  The last time I heard from #458, it was through this dm:  ""im in trouble man. I was poking around the utility grid last night...im such a fucking idiot. somnus tried to kill me IRL dude. he isnt what we thought. ive got to go. im sorry""  For weeks, I looked for #458 everywhere I could think of, but he was gone. I was depressed for a long time after that. I just hoped he found a way to hide and that was why I couldn't find him, not the other reason...  Nothing has been the same for me since then. When I finally gave up searching, it wasn't like I could just go back to having fun. I started probing, looking for edge cases, acting like #458. I wanted to see the Chain the way he did. More than that, I wanted to see Somnus the way he did. Fuck the risks. And of course, once I started looking, it wasn't long before Somnus' ugly side showed through. Mega City is lovely as long as you don't do anything unpredictable. But when you step out of line, when you start hacking, he turns on you fast.  But I don't fuck with fake utopias, not when I know what Somnus really is, not when #458 is still missing. I wanna hack it all."
